	Date	ID	Lat	Long	Type
0	2015-01-01	4634674	54.674761123159	25.272527069325	10020202
1	2015-01-03	4635323	54.685541315811	25.282170184963	10020202
2	2015-01-04	4641063	54.675737725949	25.303228611106	10020201
3	2015-01-05	4636252	54.682458476059	25.266859075439	10020202
4	2015-01-10	4637458	54.697158280874	25.250515223661	10020202
5	2015-01-11	5276360	54.689579441376	25.255230265927	10020202
6	2015-01-12	4638523	54.673888996444	25.283648136532	10020203
7	2015-01-12	4638121	54.703956226875	25.292045591356	10020202
8	2015-01-15	4639807	54.670327749047	25.293210305894	10020202
9	2015-01-17	5276362	54.689579441376	25.255230265927	10020202
10	2015-01-18	4640383	54.671009860652	25.249618577925	10020202
11	2015-01-18	4640490	54.674073315447	25.310912533721	10020202
12	2015-01-18	4640113	54.68097131161	25.285205295386	10020202
13	2015-01-18	4641305	54.704909383369	25.280127653391	10020202
14	2015-01-19	4640799	54.669685031492	25.289437971365	10020202
15	2015-01-19	4664659	54.669685031492	25.289437971365	10020203
16	2015-01-20	4641106	54.704200843813	25.293542992941	10020203
17	2015-01-20	4641180	54.676690935164	25.249420898943	10020202
18	2015-01-20	4660928	54.705049871639	25.299016574134	10020202
19	2015-01-22	4641933	54.674761123159	25.272527069325	10020202
20	2015-01-22	4641898	54.675750925083	25.306175193879	10020202
21	2015-01-22	5276364	54.689579441376	25.255230265927	10020202
22	2015-01-25	4643570	54.678779100627	25.299495742055	10020202
23	2015-01-25	4658243	54.678779100627	25.299495742055	10020203
24	2015-01-25	5276366	54.689579441376	25.255230265927	10020202
25	2015-01-26	5276375	54.689579441376	25.255230265927	10020202
26	2015-01-28	4643915	54.677093267384	25.304186920333	10020202
27	2015-01-28	4643545	54.675750925083	25.306175193879	10020202
28	2015-01-28	4849815	54.701771923847	25.295482780129	10020203
29	2015-01-29	4646393	54.68743813262	25.277840507191	10020202
30	2015-01-29	5276380	54.689579441376	25.255230265927	10020202
31	2015-01-31	4644969	54.686453416969	25.283439749367	10020201
32	2015-01-31	4645459	54.667923743086	25.250004418099	10020202
33	2015-01-31	4644829	54.704200843813	25.293542992941	10020202
34	2015-01-31	4788956	54.686453416969	25.283439749367	10020202
35	2015-01-31	5276385	54.689579441376	25.255230265927	10020202
36	2015-02-01	4645061	54.670459226483	25.251601683965	10020202
37	2015-02-01	4665278	54.67881663792	25.284175780153	10020203
38	2015-02-01	4644878	54.676362549968	25.291029641611	10020202
39	2015-02-01	5276387	54.689579441376	25.255230265927	10020202
40	2015-02-02	4646241	54.670225048951	25.254261152218	10020203
41	2015-02-02	5276389	54.689579441376	25.255230265927	10020202
42	2015-02-03	4650222	54.690260553611	25.311403263582	10020202
43	2015-02-03	4659215	54.676900478938	25.288612187882	10020203
44	2015-02-03	4659440	54.674135296825	25.265359500443	10020202
45	2015-02-04	5276393	54.689579441376	25.255230265927	10020202
46	2015-02-05	4646410	54.674970587453	25.294319219726	10020202
47	2015-02-05	5276396	54.689579441376	25.255230265927	10020202
48	2015-02-06	4647135	54.698462499817	25.279660895766	10020201
49	2015-02-08	4647269	54.696046100034	25.311527812102	10020202
50	2015-02-08	4647279	54.698669300621	25.288976288598	10020202
51	2015-02-08	4647283	54.68097131161	25.285205295386	10020202
52	2015-02-08	4647298	54.686012654318	25.285178468472	10020202
53	2015-02-08	4651375	54.676690935164	25.249420898943	10020202
54	2015-02-09	5276398	54.689579441376	25.255230265927	10020202
55	2015-02-11	4648729	54.677093267384	25.304186920333	10020202
56	2015-02-11	4648744	54.699917412368	25.278884383929	10020202
57	2015-02-11	5074589	54.689579441376	25.255230265927	10020202
58	2015-02-12	4978350	54.692067290252	25.306357971345	10020202
59	2015-02-13	4652025	54.701771923847	25.295482780129	10020202
60	2015-02-15	4649936	54.675911347701	25.261352138539	10020202
61	2015-02-16	4650464	54.667666572891	25.291652964525	10020202
62	2015-02-17	4649924	54.703737394298	25.285583667413	10020202
63	2015-02-18	4650623	54.692733742141	25.254334834602	10020201
64	2015-02-19	4653532	54.682802161167	25.275213473384	10020202
65	2015-02-19	4652869	54.689303795169	25.277309701194	10020202
66	2015-02-19	5142191	54.689303795169	25.277309701194	10020202
67	2015-02-20	4652760	54.667923743086	25.250004418099	10020203
68	2015-02-20	4651711	54.69780810715	25.287149304175	10020203
69	2015-02-20	4651321	54.679316634654	25.267412548957	10020202
70	2015-02-20	4653086	54.667923743086	25.250004418099	10020202
71	2015-02-21	4656258	54.667923743086	25.250004418099	10020202
72	2015-02-22	4651882	54.699382439567	25.284437465505	10020203
73	2015-02-24	4652483	54.69780810715	25.287149304175	10020202
74	2015-02-26	4668114	54.681699962451	25.255126698021	10020203
75	2015-03-02	4654821	54.686029046142	25.271700821527	10020202
76	2015-03-02	4676944	54.686029046142	25.271700821527	10020203
77	2015-03-03	4655152	54.698715674814	25.290529242374	10020202
78	2015-03-04	4656115	54.670459226483	25.251601683965	10020202
79	2015-03-06	4657759	54.673240273519	25.254648683563	10020202
80	2015-03-07	4656829	54.681437107661	25.265710677891	10020202
81	2015-03-08	4661550	54.6849201433	25.283127706119	10020202
82	2015-03-08	4657029	54.672236731041	25.286929533379	10020202
83	2015-03-08	4657876	54.689368772107	25.273697623278	10020202
84	2015-03-09	4658215	54.667857720675	25.289736650116	10020202
85	2015-03-09	4726549	54.667857720675	25.289736650116	10020202
86	2015-03-10	4657968	54.698715674814	25.290529242374	10020202
87	2015-03-11	4657974	54.704236645513	25.3102869395	10020201
88	2015-03-11	4659241	54.674135296825	25.265359500443	10020202
