	ID	Lat	Long	Types
49	7de1be73cabfc49e208b294a234634aa49257186	54.6774609	25.26585469999999	['restaurant', 'point_of_interest', 'food', 'establishment']
50	359e796c3f1dbafc4e388a86e5a2dfd8015a68d9	54.679996	25.2859136	['restaurant', 'point_of_interest', 'food', 'establishment']
51	3031f4f188ea17c257fa6238a7695affd5b37b3c	54.6712283	25.2692027	['restaurant', 'point_of_interest', 'food', 'establishment']
52	f5358022dd07d67a43a13e577a0bfef495f917fb	54.6842711	25.277801	['restaurant', 'point_of_interest', 'food', 'establishment']
53	a6e565a54c1d0636e7fbf8e5d5053863c03adeb7	54.68555199999999	25.279187	['restaurant', 'point_of_interest', 'food', 'establishment']
54	2a75583ba47efb84bf88c4e832f8f1ed64258db0	54.681582	25.280692	['restaurant', 'point_of_interest', 'food', 'establishment']
55	ed3502da39090bef6a39bc297f13e88b25b50ce6	54.679789	25.278749	['restaurant', 'point_of_interest', 'food', 'establishment']
56	b6d02a8c82cddac095677a33fe5d59d317de7af3	54.6804223	25.2743503	['restaurant', 'point_of_interest', 'food', 'establishment']
57	9acd4a7e6da684cf544ff07a6c9ac4efc7edb00c	54.6900748	25.2640729	['restaurant', 'point_of_interest', 'food', 'establishment']
58	1d31cea8d9f4d361d1b9ca4c4b19c5759843ccbe	54.6863828	25.2792107	['restaurant', 'point_of_interest', 'food', 'establishment']
59	ffee3169542cabd7ac1364f2a9d9f8c566ba322f	54.686497	25.259449	['restaurant', 'point_of_interest', 'food', 'establishment']
60	8a0c6985caf2ebfac7d99137f90f7c9e4e543033	54.68061629999999	25.28614009999999	['restaurant', 'point_of_interest', 'food', 'establishment']
61	bdfc20fecc7d69d3878f4f4e8dea238ad1d90a66	54.7005727	25.2703932	['restaurant', 'point_of_interest', 'food', 'establishment']
62	0e04cb39a3e9ac4ab47aa065885909feb9340db9	54.6904119	25.2643186	['restaurant', 'point_of_interest', 'food', 'establishment']
63	d3b3aa4d56f666bb1cfecb35086ce5178d7eee26	54.6801236	25.2612304	['restaurant', 'point_of_interest', 'food', 'establishment']
